"a","b","c"
0.14103447166521,0,0
0.254519256996846,0,0
0.664030456380026,0,0
0.902445426379446,0,0
0.481087192368486,0,0
0.276906620007312,0,0
0.15047715657785,0,0
1.70215804536261,0,0
0.141573896958843,0,0
0.976405578630186,0,0
0.629065514196702,0,0
2.38307755761699,0,0
1.00483406416445,0,0
0.89746227803061,0,0
1.99667428476612,0,0
1.59170273554191,0,0
0.301293397163469,0,0
0.562638061701685,0,0
0.557978518943387,0,0
0.422617790135038,0,0
2.32901554071538,0,0
1.65040411221378,0,0
0.924551381770861,0,0
1.2092995113982,0,0
0.38281667694715,0,0
0,29.2308052458358,0
0,2.85922711161719,0
0,19.0561850264819,0
0,15.6224350137102,0
0,0.366389978671057,0
0,1.01737640002509,0
0,10.3509806032971,0
0,0.282461788560547,0
0,10.2171450393257,0
0,4.10154627517216,0
0,3.78624767356383,0
0,3.6729854870248,0
0,3.77658335675606,0
0,2.61547703348663,0
0,40.8689470832525,0
0,8.03548754107923,0
0,1.7813794974033,0
0,3.33239149922059,0
0,0.513311023792876,0
0,6.02161133542664,0
0,500.518955349164,0
0,15.5873681289033,0
0,18.127084424757,0
0,0.645040999835106,0
0,0.765262456187092,0
0.373244645012101,4.93151851920395,0
0.510436501018696,1.56553920438463,0
0.87066435872403,56.0839478911567,0
0.346644620890453,4.64864910323698,0
0.263982226589637,38.383883984179,0
0.539558289214474,3.67822489947835,0
0.233896822141572,10.7371635833642,0
0.4445951378537,2.02370335957122,0
0.236048119035787,12.0091766285989,0
0.418734168929691,1.1022640786538,0
0.321661182990894,0.335831671500778,0
0.662030460385053,0.607241013540677,0
0.493749643624082,144.002664837542,0
0.511504659656599,3.37116785827428,0
0.696211058308617,17.6529911709248,0
0.437719863845261,11.0648538418574,0
0.255042238150015,114.771122660031,0
0.654193244612964,2.054328103328,0
0.906935603791396,0.44541912068459,0
0.681169076394065,7.33040189002551,0
0.541061769918974,0.202283390056264,0
0.652472515972392,2.87256293364932,0
0.425726026022419,0.244661621196346,0
0.280759223114269,0.931281525358914,0
1.020519058978,7.1145207452448,0
0,0,3.59846723278145
0,0,1.57249809004811
0,0,6.54745030293546
0,0,0.142952341900648
0,0,0.330887914836264
0,0,93.6747829946241
0,0,0.808562815833636
0,0,14.7248438600501
0,0,0.316736623415026
0,0,0.47696168811906
0,0,0.717823147275309
0,0,1025.06682862002
0,0,7.74569240410694
0,0,0.435022157456388
0,0,2.30424940611473
0,0,5.33922418344168
0,0,1.69179012725251
0,0,0.215837525428753
0,0,2.83998236444338
0,0,2.92085093415051
0,0,2.30831213239369
0,0,4429.41442220863
0,0,24.0471310427396
0,0,1.93420659631727
0,0,0.764961114595897
