Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera,Elymus canadensis
0,0,1.7559999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.16665000000000002,0,0,0,0,0,1.30085,0.8,2.3625,1.22165,0.66415,6.62915,1.65415,0.29335,0.27999999999999997,0
0.92868,6.77332,0.24468,0,0,2.3113200000000003,0,0,0.516,2.01732,1.54268,0.8033199999999999,3.542,2.0133199999999998,0,0.342,0,0
0,0,0.39999999999999997,0,0,0,0,0,0.6145833333333334,0.8694583333333333,2.0222083333333334,0,3.3534583333333337,2.3548750000000003,0,0,0,0
0,0,0.11915,0,0,0,0,0,0,0.91335,1.9949999999999999,0,3.19915,5.13,0.69585,0,0.38,0
0,14.823809523809524,0.20157142857142857,0.8658571428571429,0,1.2293809523809525,0,0,0,1.4015714285714285,0.9722380952380953,0,5.761095238095239,5.572238095238095,0,0,0,0
0,2.756157894736842,1.6263157894736842,0,0,1.2306842105263158,0,0,0,0.7315789473684211,5.4166842105263155,0.8991052631578946,1.6412105263157895,2.157,5.374578947368422,0.5052631578947369,0,0
0,0,0.14300000000000002,0,0,0.8675263157894737,0,0,0,1.0772105263157894,2.7859473684210525,0,12.202631578947368,4.982473684210526,4.734210526315789,1.0017368421052633,0,0
0,0,0.3342777777777778,0,0,0,0,0,0,0.9750000000000001,5.551833333333334,1.557388888888889,6.388888888888889,5.221277777777778,4.7435,1.4870555555555556,0,0
0,1.579,0.46956521739130436,0,0,2.523913043478261,0,0,1.2942173913043478,0.7094347826086956,2.5101304347826088,1.4536086956521739,0,5.373913043478261,5.945652173913044,0,0,0
0,0,0.34835,0,0.13665,2.1075,0,0,1.16585,0,2.87665,0,5.5775,7.43335,2.21835,0.46914999999999996,0,0
0,0.6375,0.1676875,0,0,0,0,0,4.5323125,0,0,0,5.8614375,0,0,0,1.484375,0
